Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
INTU,3,0.410584224865598,-0.088765267382491,0.909933717113687,0.107058320236987,10.7444164501358,0.0966040949370821,2.59711676254433,0.107058320236987,FALSE,3948
CCT5,3,0.339310698127131,-0.0733648459872053,0.751986242241467,0.107065452696806,9.06318774548908,0.170055499371687,2.5970111985365,0.107065452696806,FALSE,3949
TDRD3,-1,-0.269343999445411,-0.596928075951401,0.0582400770605782,0.107068926362405,3.12098484170023,0.7935159961254,2.5969597893255,0.107068926362406,FALSE,3950
MYCL,-3,-1.0388897622168,-2.30258010395309,0.224800579519501,0.107113959405873,32.351502702109,1.397113224808e-05,2.59629347938604,0.107113959405872,FALSE,3951
TMEM45A,1,0.654269462676889,-0.141585136014747,1.45012406136853,0.107118711942487,14.1585898987419,0.0279139344003238,2.59622317867949,0.107118711942487,FALSE,3952
MAP7,-3,-0.341552121654258,-0.757028149931486,0.0739239066229698,0.107128334256711,8.71424717393958,0.190297806466241,2.59608085348834,0.107128334256712,FALSE,3953
TK1,4,0.408480891115432,-0.0884169093130685,0.905378691543933,0.107133463497963,5.1526957588958,0.397530823776731,2.59600499179144,0.107133463497963,FALSE,3954
HSPB8,-3,-0.628838780538002,-1.39390522433747,0.136227663261461,0.107185613779253,13.9446414853985,0.0302606993866877,2.59523391310957,0.107185613779253,FALSE,3955
KIF14,2,1.22756768339406,-0.266301044453097,2.72143641124122,0.107272266440764,28.6726596380425,2.6880374390999e-05,2.59395360238155,0.107272266440763,FALSE,3956
REEP3,-1,0.364500971554834,-0.0792380616039601,0.808240004713627,0.107403301024038,7.89118603174237,0.246184212715396,2.5920196941352,0.107403301024038,FALSE,3957
GPR37L1,-4,-0.516756319677795,-1.14591873001881,0.112406090663217,0.10744217528102,0.469656251719633,0.925505399037374,2.59144645629069,0.10744217528102,FALSE,3958
ENDOG,-5,-0.334131783933013,-0.740969671111227,0.0727061032452017,0.10746373239703,7.76164046194228,0.256091444455466,2.59112867425492,0.107463732397029,FALSE,3959
MTMR10,1,-0.419329047982389,-0.929929928698463,0.091271832733686,0.107482361433106,15.2363415124172,0.0184960479051163,2.59085411256784,0.107482361433106,FALSE,3960
NEURL2,-1,-0.615568406569538,-1.36526942013196,0.134132606992881,0.107551322975421,6.99941598362701,0.135919091210334,2.58983818601702,0.107551322975421,FALSE,3961
RAD51,4,0.438309344327985,-0.095545594390392,0.972164283046362,0.107576235426709,5.78589719521413,0.327612660315599,2.589471356968,0.107576235426709,FALSE,3962
FRYL,5,0.247684565385834,-0.0540277835771051,0.549396914348774,0.107618038816743,3.56002474920608,0.735967296350785,2.58885602293162,0.107618038816744,FALSE,3963
GRK2,5,0.477600731242214,-0.104277558530023,1.05947902101445,0.107677208391824,15.0060588945181,0.0202096428058083,2.58798551197261,0.107677208391824,FALSE,3964
SOX5,5,0.36749333336797,-0.0802835704988715,0.815270237234812,0.107713719610247,5.7039576526869,0.457156154369626,2.58744861584325,0.107713719610247,FALSE,3965
C1orf167,-5,-0.491696047972236,-1.09083186847244,0.107439772527966,0.107726966076188,12.5958011788951,0.0499230536125258,2.58725387643741,0.107726966076188,FALSE,3966
GNG2,3,0.575371232660362,-0.125796588770796,1.27653905409152,0.107763656777401,13.9477018322489,0.0302258505726077,2.58671461504789,0.107763656777401,FALSE,3967
SMIM27,-3,-0.39316639798313,-0.872310693195155,0.0859778972288946,0.107776704874082,9.27702122348777,0.158587505205081,2.58652288930198,0.107776704874081,FALSE,3968
ABCC11,-3,-0.625601093412786,-1.38812557451512,0.136923387689548,0.107830512616942,11.7855097448843,0.0190196232343395,2.58573251978567,0.107830512616942,FALSE,3969
ZMYND10,4,0.644483513248096,-0.141065388911035,1.43003241540723,0.107834665804906,9.11362311818645,0.104617039285902,2.58567153256814,0.107834665804906,FALSE,3970
CILP2,2,1.81328340483345,-0.397111195427113,4.02367800509401,0.107869302384873,39.3307189827297,2.03726079722609e-07,2.58516301438663,0.107869302384872,FALSE,3971
ZNF620,-3,-0.390944359617161,-0.867568307296734,0.0856795880624126,0.107915360595757,8.11589924762746,0.229734641678721,2.58448708675813,0.107915360595757,FALSE,3972
